"reportingdistrictcode","reportingdistrictname","category","studentgroup","studentcount_current","attrate_ytd","studentcount_202021","attrate_202021","studentcount_201920","attrate_201920","reportingperiod","date_update"
"00000CT","Connecticut",,"All Students","495327","0.9194","496092","0.9294","508346","0.9479","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"00000CT","Connecticut","Homelessness","Students Experiencing Homelessness","1796","0.8379","1735","0.8155","3916","0.8884","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"00000CT","Connecticut","Students With Disabilities","Students With Disabilities","77639","0.8916","76487","0.8946","80365","0.9277","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"00000CT","Connecticut","Free/Reduced Lunch","Free Meal Eligible","166765","0.888","176225","0.8861","193706","0.9314","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"00000CT","Connecticut","Free/Reduced Lunch","Reduced Price Meal Eligible","29497","0.9211","30886","0.9299","27507","0.9518","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"00000CT","Connecticut","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","196262","0.8929","207111","0.8927","221213","0.934","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"00000CT","Connecticut","English Learners","English Learners","43157","0.9002","40619","0.8948","45413","0.9389","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"00000CT","Connecticut","Race/Ethnicity","All other races","48207","0.9345","47339","0.9483","47260","0.9559","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"00000CT","Connecticut","Race/Ethnicity","Black or African American","61941","0.898","62267","0.8931","64200","0.9401","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"00000CT","Connecticut","Race/Ethnicity","Hispanic/Latino of any race","144096","0.8962","138260","0.8975","136953","0.9362","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"00000CT","Connecticut","Race/Ethnicity","White","241083","0.9355","248226","0.9523","259933","0.9543","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"00000CT","Connecticut","High Needs","Students Without High Needs","239859","0.942","236395","0.9616","241610","0.9606","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"00000CT","Connecticut","High Needs","Students With High Needs","245339","0.898","251220","0.8996","266736","0.9361","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0010011","Andover School District",,"All Students","161","0.9433","144","0.968","158","0.9502","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0010011","Andover School District","Students With Disabilities","Students With Disabilities","23","0.9374",,,,,"2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0010011","Andover School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","30","0.9306","31","0.9414","37","0.9401","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0010011","Andover School District","Race/Ethnicity","White","134","0.941","115","0.9699","128","0.9479","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0010011","Andover School District","High Needs","Students Without High Needs","113","0.9462","100","0.9752","108","0.9552","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0010011","Andover School District","High Needs","Students With High Needs","48","0.9362","44","0.9513","50","0.9389","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0020011","Ansonia School District",,"All Students","2162","0.9028","2153","0.8923","2185","0.9413","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0020011","Ansonia School District","Students With Disabilities","Students With Disabilities","374","0.8869","394","0.8692","411","0.9337","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0020011","Ansonia School District","Free/Reduced Lunch","Free Meal Eligible","1212","0.8871","1217","0.8657","1312","0.9312","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0020011","Ansonia School District","Free/Reduced Lunch","Reduced Price Meal Eligible","225","0.929","213","0.9234","147","0.9563","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0020011","Ansonia School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","1437","0.8935","1430","0.8743","1459","0.9338","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0020011","Ansonia School District","English Learners","English Learners","122","0.92","119","0.8951","129","0.9506","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0020011","Ansonia School District","Race/Ethnicity","All other races","153","0.9152","166","0.9105","170","0.9451","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0020011","Ansonia School District","Race/Ethnicity","Black or African American","438","0.897","421","0.8693","434","0.9414","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0020011","Ansonia School District","Race/Ethnicity","Hispanic/Latino of any race","993","0.8985","946","0.8798","923","0.9366","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0020011","Ansonia School District","Race/Ethnicity","White","578","0.9112","620","0.9217","658","0.9468","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0020011","Ansonia School District","High Needs","Students Without High Needs","530","0.9274","551","0.9389","587","0.9568","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0020011","Ansonia School District","High Needs","Students With High Needs","1564","0.8951","1563","0.8764","1598","0.9355","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0030011","Ashford School District",,"All Students","347","0.9319","344","0.955","348","0.9585","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0030011","Ashford School District","Students With Disabilities","Students With Disabilities","46","0.9214","47","0.9573","56","0.9468","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0030011","Ashford School District","Free/Reduced Lunch","Free Meal Eligible","94","0.9159","98","0.9281",,,"2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0030011","Ashford School District","Free/Reduced Lunch","Reduced Price Meal Eligible","21","0.9168","28","0.9424",,,"2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0030011","Ashford School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","115","0.9161","126","0.9312","130","0.9477","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0030011","Ashford School District","Race/Ethnicity","Hispanic/Latino of any race","34","0.9116","27","0.9408","22","0.9353","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0030011","Ashford School District","Race/Ethnicity","White","284","0.9362","292","0.9598","298","0.9607","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0030011","Ashford School District","High Needs","Students Without High Needs","191","0.9409","179","0.9686","182","0.9666","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0030011","Ashford School District","High Needs","Students With High Needs","147","0.9197","155","0.938","166","0.9496","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0040011","Avon School District",,"All Students","3059","0.9496","3093","0.9621","3138","0.9583","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0040011","Avon School District","Students With Disabilities","Students With Disabilities","326","0.9219","305","0.9309","330","0.9421","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0040011","Avon School District","Free/Reduced Lunch","Free Meal Eligible","226","0.915","184","0.9152","243","0.9389","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0040011","Avon School District","Free/Reduced Lunch","Reduced Price Meal Eligible","60","0.9065","51","0.9356","47","0.9365","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0040011","Avon School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","286","0.9131","235","0.9197","290","0.9385","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0040011","Avon School District","English Learners","English Learners","77","0.9481","90","0.9601","104","0.9435","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0040011","Avon School District","Race/Ethnicity","All other races","715","0.9597","737","0.976","755","0.9643","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0040011","Avon School District","Race/Ethnicity","Black or African American","180","0.9254","172","0.9299","162","0.9478","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0040011","Avon School District","Race/Ethnicity","Hispanic/Latino of any race","221","0.9364","226","0.9414","215","0.952","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0040011","Avon School District","Race/Ethnicity","White","1943","0.9495","1958","0.962","2006","0.9576","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0040011","Avon School District","High Needs","Students Without High Needs","2432","0.956","2501","0.9681","2531","0.9622","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0040011","Avon School District","High Needs","Students With High Needs","590","0.9239","546","0.9348","607","0.9417","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0050011","Barkhamsted School District",,"All Students","199","0.9321","193","0.9698","199","0.9573","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0050011","Barkhamsted School District","Students With Disabilities","Students With Disabilities","45","0.9105","44","0.9578","56","0.9536","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0050011","Barkhamsted School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","44","0.9247","43","0.9626","54","0.9533","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0050011","Barkhamsted School District","Race/Ethnicity","White","176","0.9329","175","0.9693","182","0.9565","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0050011","Barkhamsted School District","High Needs","Students Without High Needs","124","0.9396","118","0.9761","113","0.9614","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0050011","Barkhamsted School District","High Needs","Students With High Needs","73","0.9188","71","0.96","86","0.9519","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0070011","Berlin School District",,"All Students","2608","0.9346","2680","0.9542","2700","0.9562","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0070011","Berlin School District","Students With Disabilities","Students With Disabilities","384","0.9056","403","0.9249","398","0.9356","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0070011","Berlin School District","Free/Reduced Lunch","Free Meal Eligible","426","0.9026","504","0.9183","504","0.9379","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0070011","Berlin School District","Free/Reduced Lunch","Reduced Price Meal Eligible","127","0.9163","126","0.9532","83","0.9543","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0070011","Berlin School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","553","0.9057","630","0.9253","587","0.9403","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0070011","Berlin School District","English Learners","English Learners","95","0.9162","105","0.9298","96","0.9413","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0070011","Berlin School District","Race/Ethnicity","All other races","192","0.9421","199","0.9519","190","0.9627","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0070011","Berlin School District","Race/Ethnicity","Black or African American","64","0.9257","77","0.9379","63","0.9473","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0070011","Berlin School District","Race/Ethnicity","Hispanic/Latino of any race","313","0.9044","321","0.9217","313","0.9364","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0070011","Berlin School District","Race/Ethnicity","White","2039","0.9389","2083","0.96","2134","0.9587","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0070011","Berlin School District","High Needs","Students Without High Needs","1756","0.9458","1763","0.9653","1838","0.9629","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0070011","Berlin School District","High Needs","Students With High Needs","837","0.9115","906","0.9324","862","0.9416","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0080011","Bethany School District",,"All Students","391","0.9533","356","0.9637","354","0.9573","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0080011","Bethany School District","Students With Disabilities","Students With Disabilities","54","0.949","48","0.9581","46","0.9525","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0080011","Bethany School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","50","0.9434","46","0.9232","49","0.9406","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0080011","Bethany School District","Race/Ethnicity","All other races","42","0.9583",,,"28","0.9706","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0080011","Bethany School District","Race/Ethnicity","White","307","0.9546","290","0.9643","296","0.9584","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0080011","Bethany School District","High Needs","Students Without High Needs","280","0.956","257","0.9705","260","0.961","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0080011","Bethany School District","High Needs","Students With High Needs","105","0.9468","95","0.9452","94","0.947","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0090011","Bethel School District",,"All Students","3096","0.939","3052","0.9506","3080","0.9563","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0090011","Bethel School District","Students With Disabilities","Students With Disabilities","404","0.9217","371","0.9139","387","0.9432","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0090011","Bethel School District","Free/Reduced Lunch","Free Meal Eligible","682","0.9245","726","0.9211","772","0.9476","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0090011","Bethel School District","Free/Reduced Lunch","Reduced Price Meal Eligible","215","0.9418","233","0.9478","215","0.9578","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0090011","Bethel School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","897","0.9286","959","0.9277","987","0.9498","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0090011","Bethel School District","English Learners","English Learners","165","0.9288","183","0.9243","222","0.9506","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0090011","Bethel School District","Race/Ethnicity","All other races","385","0.9502","362","0.965","359","0.962","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0090011","Bethel School District","Race/Ethnicity","Black or African American","127","0.9425","111","0.9449","101","0.9552","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0090011","Bethel School District","Race/Ethnicity","Hispanic/Latino of any race","738","0.9358","688","0.9353","685","0.9577","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0090011","Bethel School District","Race/Ethnicity","White","1846","0.9377","1891","0.9535","1935","0.9548","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0090011","Bethel School District","High Needs","Students Without High Needs","1822","0.9461","1753","0.9664","1805","0.9608","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0090011","Bethel School District","High Needs","Students With High Needs","1210","0.929","1242","0.9299","1275","0.9498","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0110011","Bloomfield School District",,"All Students","1730","0.9316","1756","0.9385","1908","0.9532","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0110011","Bloomfield School District","Students With Disabilities","Students With Disabilities","371","0.9144","348","0.9105","364","0.9426","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0110011","Bloomfield School District","Free/Reduced Lunch","Free Meal Eligible","778","0.9205","898","0.9217","1009","0.9471","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0110011","Bloomfield School District","Free/Reduced Lunch","Reduced Price Meal Eligible","164","0.9316","191","0.9418","198","0.9569","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0110011","Bloomfield School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","942","0.9224","1089","0.9253","1207","0.9487","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0110011","Bloomfield School District","English Learners","English Learners","87","0.9253","76","0.9234","78","0.9424","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0110011","Bloomfield School District","Race/Ethnicity","All other races","99","0.9161","85","0.9372","98","0.9485","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0110011","Bloomfield School District","Race/Ethnicity","Black or African American","1276","0.9378","1353","0.9427","1476","0.9577","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0110011","Bloomfield School District","Race/Ethnicity","Hispanic/Latino of any race","296","0.9132","252","0.915","255","0.934","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0110011","Bloomfield School District","Race/Ethnicity","White","59","0.9147","66","0.9423","79","0.9372","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0110011","Bloomfield School District","High Needs","Students Without High Needs","607","0.9452","540","0.9626","587","0.9625","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0110011","Bloomfield School District","High Needs","Students With High Needs","1093","0.9241","1199","0.9278","1321","0.9489","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0120011","Bolton School District",,"All Students","742","0.9447","751","0.9483","767","0.949","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0120011","Bolton School District","Students With Disabilities","Students With Disabilities","80","0.9148","82","0.8851","87","0.9303","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0120011","Bolton School District","Free/Reduced Lunch","Free Meal Eligible","148","0.9043","157","0.8677","170","0.9344","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0120011","Bolton School District","Free/Reduced Lunch","Reduced Price Meal Eligible","31","0.9205","26","0.9057","22","0.9229","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0120011","Bolton School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","179","0.9072","183","0.8731","192","0.933","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0120011","Bolton School District","Race/Ethnicity","All other races","50","0.9415","53","0.9311","49","0.9428","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0120011","Bolton School District","Race/Ethnicity","Black or African American","36","0.9216","36","0.8748","41","0.9379","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0120011","Bolton School District","Race/Ethnicity","Hispanic/Latino of any race","89","0.9169","82","0.8991","88","0.9444","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0120011","Bolton School District","Race/Ethnicity","White","567","0.9507","580","0.9613","589","0.9509","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0120011","Bolton School District","High Needs","Students Without High Needs","509","0.9582","507","0.9755","520","0.9559","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0120011","Bolton School District","High Needs","Students With High Needs","227","0.9151","236","0.8896","247","0.9344","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0130011","Bozrah School District",,"All Students","150","0.9408","163","0.9649","170","0.9573","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0130011","Bozrah School District","Students With Disabilities","Students With Disabilities","25","0.9263","26","0.9403","30","0.9325","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0130011","Bozrah School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","59","0.938","63","0.9587","70","0.9483","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0130011","Bozrah School District","Race/Ethnicity","Hispanic/Latino of any race","22","0.946",,,,,"2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0130011","Bozrah School District","Race/Ethnicity","White","112","0.937","129","0.9668","132","0.9569","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0130011","Bozrah School District","High Needs","Students Without High Needs","75","0.9427","83","0.9731","85","0.9667","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0130011","Bozrah School District","High Needs","Students With High Needs","73","0.9389","78","0.956","85","0.9478","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0140011","Branford School District",,"All Students","2524","0.9299","2531","0.949","2678","0.9658","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0140011","Branford School District","Students With Disabilities","Students With Disabilities","324","0.9157","325","0.9312","353","0.9556","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0140011","Branford School District","Free/Reduced Lunch","Free Meal Eligible","695","0.9036","756","0.9165","810","0.9614","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0140011","Branford School District","Free/Reduced Lunch","Reduced Price Meal Eligible","193","0.9349","198","0.9538","176","0.9632","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0140011","Branford School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","888","0.9104","954","0.9244","986","0.9617","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0140011","Branford School District","English Learners","English Learners","166","0.9426","148","0.9503","151","0.9598","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0140011","Branford School District","Race/Ethnicity","All other races","289","0.9443","278","0.9608","293","0.97","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0140011","Branford School District","Race/Ethnicity","Black or African American","97","0.9278","105","0.9317","101","0.9714","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0140011","Branford School District","Race/Ethnicity","Hispanic/Latino of any race","378","0.9101","345","0.9163","342","0.9561","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0140011","Branford School District","Race/Ethnicity","White","1760","0.9318","1803","0.9544","1942","0.9665","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0140011","Branford School District","High Needs","Students Without High Needs","1388","0.9419","1342","0.965","1478","0.9693","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0140011","Branford School District","High Needs","Students With High Needs","1106","0.916","1154","0.931","1200","0.9614","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0150011","Bridgeport School District",,"All Students","18440","0.9039","18244","0.9005","19423","0.9367","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0150011","Bridgeport School District","Homelessness","Students Experiencing Homelessness","119","0.8464","92","0.7791","107","0.8635","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0150011","Bridgeport School District","Students With Disabilities","Students With Disabilities","3266","0.8775","3283","0.8692","3648","0.9196","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0150011","Bridgeport School District","Free/Reduced Lunch","Free Meal Eligible","9920","0.8901","10597","0.8838","12851","0.9287","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0150011","Bridgeport School District","Free/Reduced Lunch","Reduced Price Meal Eligible","1560","0.9267","1342","0.9291","1364","0.9565","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0150011","Bridgeport School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","11480","0.8951","11939","0.8889","14215","0.9314","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0150011","Bridgeport School District","English Learners","English Learners","4179","0.9148","3692","0.9066","4240","0.9433","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0150011","Bridgeport School District","Race/Ethnicity","All other races","810","0.9286","780","0.9399","840","0.9538","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0150011","Bridgeport School District","Race/Ethnicity","Black or African American","5544","0.9025","5791","0.894","6312","0.9369","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0150011","Bridgeport School District","Race/Ethnicity","Hispanic/Latino of any race","10324","0.9018","9724","0.8978","9979","0.934","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0150011","Bridgeport School District","Race/Ethnicity","White","1762","0.9094","1949","0.9175","2292","0.9416","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0150011","Bridgeport School District","High Needs","Students Without High Needs","3591","0.9273","3626","0.938","3106","0.9555","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0150011","Bridgeport School District","High Needs","Students With High Needs","13859","0.8979","14008","0.8915","16317","0.9331","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0170011","Bristol School District",,"All Students","7431","0.9254","7504","0.9123","7684","0.9482","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0170011","Bristol School District","Homelessness","Students Experiencing Homelessness","67","0.8898","57","0.8217","116","0.8913","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0170011","Bristol School District","Students With Disabilities","Students With Disabilities","1418","0.9027","1466","0.8716","1552","0.9294","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0170011","Bristol School District","Free/Reduced Lunch","Free Meal Eligible","3542","0.9069","3521","0.8747","3721","0.9368","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0170011","Bristol School District","Free/Reduced Lunch","Reduced Price Meal Eligible","436","0.9306","530","0.9194","412","0.951","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0170011","Bristol School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","3978","0.9094","4051","0.8806","4133","0.9382","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0170011","Bristol School District","English Learners","English Learners","421","0.9134","397","0.8856","440","0.9428","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0170011","Bristol School District","Race/Ethnicity","All other races","626","0.9291","610","0.9193","623","0.9564","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0170011","Bristol School District","Race/Ethnicity","Black or African American","571","0.9287","559","0.8965","561","0.9487","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0170011","Bristol School District","Race/Ethnicity","Hispanic/Latino of any race","2614","0.9098","2493","0.8772","2430","0.9401","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0170011","Bristol School District","Race/Ethnicity","White","3620","0.9355","3842","0.9358","4070","0.9515","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0170011","Bristol School District","High Needs","Students Without High Needs","2798","0.9493","2802","0.956","2977","0.9618","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0170011","Bristol School District","High Needs","Students With High Needs","4508","0.9114","4590","0.8855","4707","0.9393","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0180011","Brookfield School District",,"All Students","2547","0.94","2559","0.9559","2574","0.9706","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0180011","Brookfield School District","Students With Disabilities","Students With Disabilities","350","0.9174","355","0.9311","369","0.9673","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0180011","Brookfield School District","Free/Reduced Lunch","Free Meal Eligible","379","0.9163","408","0.9317","447","0.9669","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0180011","Brookfield School District","Free/Reduced Lunch","Reduced Price Meal Eligible","135","0.9341","121","0.9407","91","0.9693","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0180011","Brookfield School District","Free/Reduced Lunch","Free/Reduced Price Meal Eligible","514","0.921","529","0.9337","538","0.9673","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0180011","Brookfield School District","English Learners","English Learners","105","0.9395","90","0.9464","115","0.9708","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0180011","Brookfield School District","Race/Ethnicity","All other races","244","0.9528","253","0.9713","233","0.9794","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0180011","Brookfield School District","Race/Ethnicity","Black or African American","74","0.9509","67","0.9511","57","0.9735","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0180011","Brookfield School District","Race/Ethnicity","Hispanic/Latino of any race","366","0.9267","325","0.9434","299","0.967","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0180011","Brookfield School District","Race/Ethnicity","White","1863","0.9405","1914","0.9562","1985","0.97","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0180011","Brookfield School District","High Needs","Students Without High Needs","1724","0.9484","1725","0.9644","1740","0.9719","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0180011","Brookfield School District","High Needs","Students With High Needs","801","0.9227","803","0.9373","834","0.9677","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
"0190011","Brooklyn School District",,"All Students","798","0.9141","775","0.9337","809","0.9526","2022-04-01T00:00:00.000","2022-05-16T00:00:00.000"
